month_no,month_name,quarter_no,year_no
1,January,1,2019
2,February,1,2019
3,March,1,2019
4,April,2,2019
5,May,2,2019
6,June,2,2019
7,July,3,2019
8,August,3,2019
9,September,3,2019
10,October,4,2019
11,November,4,2019
12,December,4,2019
1,January,1,2020
2,February,1,2020
3,March,1,2020
4,April,2,2020
5,May,2,2020
6,June,2,2020
7,July,3,2020
8,August,3,2020
9,September,3,2020
10,October,4,2020
11,November,4,2020
12,December,4,2020
1,January,1,2021
2,February,1,2021
3,March,1,2021
4,April,2,2021
5,May,2,2021
6,June,2,2021
7,July,3,2021
8,August,3,2021
9,September,3,2021
10,October,4,2021
11,November,4,2021
12,December,4,2021
1,January,1,2022
2,February,1,2022
3,March,1,2022
4,April,2,2022
5,May,2,2022
6,June,2,2022
7,July,3,2022
8,August,3,2022
9,September,3,2022
10,October,4,2022
11,November,4,2022
12,December,4,2022
1,January,1,2023
2,February,1,2023
3,March,1,2023
4,April,2,2023
5,May,2,2023
6,June,2,2023
7,July,3,2023
8,August,3,2023
9,September,3,2023
10,October,4,2023
11,November,4,2023
12,December,4,2023
1,January,1,2024
2,February,1,2024
3,March,1,2024
4,April,2,2024
5,May,2,2024
6,June,2,2024
7,July,3,2024
8,August,3,2024
9,September,3,2024
10,October,4,2024
11,November,4,2024
12,December,4,2024
1,January,1,2025
2,February,1,2025
3,March,1,2025
4,April,2,2025
5,May,2,2025
6,June,2,2025
7,July,3,2025
8,August,3,2025
9,September,3,2025
10,October,4,2025
11,November,4,2025
12,December,4,2025
1,January,1,2026
2,February,1,2026
3,March,1,2026
4,April,2,2026
5,May,2,2026
6,June,2,2026
7,July,3,2026
8,August,3,2026
9,September,3,2026
10,October,4,2026
11,November,4,2026
12,December,4,2026
1,January,1,2027
2,February,1,2027
3,March,1,2027
4,April,2,2027
5,May,2,2027
6,June,2,2027
7,July,3,2027
8,August,3,2027
9,September,3,2027
10,October,4,2027
11,November,4,2027
12,December,4,2027
1,January,1,2028
2,February,1,2028
3,March,1,2028
4,April,2,2028
5,May,2,2028
6,June,2,2028
7,July,3,2028
8,August,3,2028
9,September,3,2028
10,October,4,2028
11,November,4,2028
12,December,4,2028
1,January,1,2029
2,February,1,2029
3,March,1,2029
4,April,2,2029
5,May,2,2029
6,June,2,2029
7,July,3,2029
8,August,3,2029
9,September,3,2029
10,October,4,2029
11,November,4,2029
12,December,4,2029
1,January,1,2030
2,February,1,2030
3,March,1,2030
4,April,2,2030
5,May,2,2030
6,June,2,2030
7,July,3,2030
8,August,3,2030
9,September,3,2030
10,October,4,2030
11,November,4,2030
12,December,4,2030
1,January,1,2000
2,February,1,2000
3,March,1,2000
4,April,2,2000
5,May,2,2000
6,June,2,2000
7,July,3,2000
8,August,3,2000
9,September,3,2000
10,October,4,2000
11,November,4,2000
12,December,4,2000
1,January,1,2001
2,February,1,2001
3,March,1,2001
4,April,2,2001
5,May,2,2001
6,June,2,2001
7,July,3,2001
8,August,3,2001
9,September,3,2001
10,October,4,2001
11,November,4,2001
12,December,4,2001
1,January,1,2002
2,February,1,2002
3,March,1,2002
4,April,2,2002
5,May,2,2002
6,June,2,2002
7,July,3,2002
8,August,3,2002
9,September,3,2002
10,October,4,2002
11,November,4,2002
12,December,4,2002
1,January,1,2003
2,February,1,2003
3,March,1,2003
4,April,2,2003
5,May,2,2003
6,June,2,2003
7,July,3,2003
8,August,3,2003
9,September,3,2003
10,October,4,2003
11,November,4,2003
12,December,4,2003
1,January,1,2004
2,February,1,2004
3,March,1,2004
4,April,2,2004
5,May,2,2004
6,June,2,2004
7,July,3,2004
8,August,3,2004
9,September,3,2004
10,October,4,2004
11,November,4,2004
12,December,4,2004
1,January,1,2005
2,February,1,2005
3,March,1,2005
4,April,2,2005
5,May,2,2005
6,June,2,2005
7,July,3,2005
8,August,3,2005
9,September,3,2005
10,October,4,2005
11,November,4,2005
12,December,4,2005
1,January,1,2006
2,February,1,2006
3,March,1,2006
4,April,2,2006
5,May,2,2006
6,June,2,2006
7,July,3,2006
8,August,3,2006
9,September,3,2006
10,October,4,2006
11,November,4,2006
12,December,4,2006
1,January,1,2007
2,February,1,2007
3,March,1,2007
4,April,2,2007
5,May,2,2007
6,June,2,2007
7,July,3,2007
8,August,3,2007
9,September,3,2007
10,October,4,2007
11,November,4,2007
12,December,4,2007
1,January,1,2008
2,February,1,2008
3,March,1,2008
4,April,2,2008
5,May,2,2008
6,June,2,2008
7,July,3,2008
8,August,3,2008
9,September,3,2008
10,October,4,2008
11,November,4,2008
12,December,4,2008
1,January,1,2009
2,February,1,2009
3,March,1,2009
4,April,2,2009
5,May,2,2009
6,June,2,2009
7,July,3,2009
8,August,3,2009
9,September,3,2009
10,October,4,2009
11,November,4,2009
12,December,4,2009
1,January,1,2010
2,February,1,2010
3,March,1,2010
4,April,2,2010
5,May,2,2010
6,June,2,2010
7,July,3,2010
8,August,3,2010
9,September,3,2010
10,October,4,2010
11,November,4,2010
12,December,4,2010
1,January,1,2011
2,February,1,2011
3,March,1,2011
4,April,2,2011
5,May,2,2011
6,June,2,2011
7,July,3,2011
8,August,3,2011
9,September,3,2011
10,October,4,2011
11,November,4,2011
12,December,4,2011
1,January,1,2012
2,February,1,2012
3,March,1,2012
4,April,2,2012
5,May,2,2012
6,June,2,2012
7,July,3,2012
8,August,3,2012
9,September,3,2012
10,October,4,2012
11,November,4,2012
12,December,4,2012
1,January,1,2013
2,February,1,2013
3,March,1,2013
4,April,2,2013
5,May,2,2013
6,June,2,2013
7,July,3,2013
8,August,3,2013
9,September,3,2013
10,October,4,2013
11,November,4,2013
12,December,4,2013
1,January,1,2014
2,February,1,2014
3,March,1,2014
4,April,2,2014
5,May,2,2014
6,June,2,2014
7,July,3,2014
8,August,3,2014
9,September,3,2014
10,October,4,2014
11,November,4,2014
12,December,4,2014
1,January,1,2015
2,February,1,2015
3,March,1,2015
4,April,2,2015
5,May,2,2015
6,June,2,2015
7,July,3,2015
8,August,3,2015
9,September,3,2015
10,October,4,2015
11,November,4,2015
12,December,4,2015
1,January,1,2016
2,February,1,2016
3,March,1,2016
4,April,2,2016
5,May,2,2016
6,June,2,2016
7,July,3,2016
8,August,3,2016
9,September,3,2016
10,October,4,2016
11,November,4,2016
12,December,4,2016
1,January,1,2017
2,February,1,2017
3,March,1,2017
4,April,2,2017
5,May,2,2017
6,June,2,2017
7,July,3,2017
8,August,3,2017
9,September,3,2017
10,October,4,2017
11,November,4,2017
12,December,4,2017
1,January,1,2018
2,February,1,2018
3,March,1,2018
4,April,2,2018
5,May,2,2018
6,June,2,2018
7,July,3,2018
8,August,3,2018
9,September,3,2018
10,October,4,2018
11,November,4,2018
12,December,4,2018